,rank,Youtuber,subscribers,video views,video count,category,started
434,435,Anitta,"16,700,000","6,610,175,435",99,Music,2011
436,437,Triggered Insaan,"16,700,000","2,657,491,028",265,Comedy,2014
437,438,7clouds,"16,600,000","11,637,964,945","1,940",Music,2013
438,439,Tu COSMOPOLIS,"16,600,000","4,875,900,353","6,796",People & Blogs,2014
439,440,DeToxoMoroxo,"16,600,000","2,212,149,791",488,Entertainment,2012
440,441,Sourav Joshi Vlogs,"16,500,000","5,970,849,535","1,039",People & Blogs,2019
441,442,TheBrianMaps,"16,500,000","4,090,289,417",476,Comedy,2012
443,444,SonyMusicSouthVEVO,"16,400,000","15,090,557,603","4,304",Music,2014
444,445,zbing z.,"16,400,000","8,307,904,773","2,763",Gaming,2014
445,446,Dhar Mann,"16,400,000","8,642,459,264",649,People & Blogs,2018
446,447,IDEAS EN 5 MINUTOS,"16,400,000","3,509,049,258","4,658",Howto & Style,2017
447,448,W2S,"16,300,000","4,739,609,055",653,Gaming,2012
449,450,ExtraPolinesios,"16,300,000","4,696,367,446",480,People & Blogs,2012
450,451,Goldmines Great Indian Comedy,"16,300,000","4,238,595,667","2,008",Film & Animation,2016
451,452,Prajapati News,"16,300,000","907,965,523","1,081",Comedy,2013
452,453,SOMOY TV,"16,200,000","9,476,895,180","124,072",News & Politics,2015
453,454,Sony AATH,"16,200,000","10,718,891,416","14,759",Shows,2013
455,456,Sandra Cires Art,"16,200,000","3,702,173,328",953,Howto & Style,2011
456,457,tanboy kun,"16,200,000","3,020,272,233",582,People & Blogs,2016
457,458,Sidhu Moose Wala,"16,200,000","4,078,330,367",111,Music,2017
458,459,Blippi - Educational Videos for Kids,"16,100,000","12,991,967,769",453,Education,2014
460,461,Travis Scott,"16,100,000","7,187,033,169",13,Music,2013
462,463,Zuni and Family,"16,100,000","5,830,669,187",176,People & Blogs,2017
463,464,Sidemen,"16,100,000","4,196,033,350",264,Entertainment,2015
465,466,Antrax,"16,100,000","2,949,891,202",654,Gaming,2015
466,467,Canal IN,"16,100,000","2,573,050,059",723,People & Blogs,2017
467,468,Dushyant kukreja,"16,000,000","11,095,340,736",571,Entertainment,2015
468,469,TRANS TV Official,"16,000,000","8,780,937,851","123,467",Entertainment,2014
469,470,Little Mix,"16,000,000","7,047,968,268",278,Music,2011
470,471,RKD Studios,"16,000,000","4,133,234,619",622,Entertainment,2014
471,472,FailArmy,"16,000,000","2,041,620,563",337,Comedy,2011
472,473,El Reino a Jugar,"15,900,000","10,175,537,321",872,Education,2015
473,474,DopeLyrics,"15,900,000","9,803,533,121","1,937",Music,2016
475,476,Camila Cabello,"15,900,000","6,086,165,889",61,Music,2015
477,478,Kaykai Salaider,"15,900,000","4,248,704,474",399,Comedy,2011
482,483,Kids Play,"15,800,000","7,713,981,883",545,Entertainment,2018
483,484,Aayu and Pihu Show,"15,800,000","7,837,311,552",352,Comedy,2017
484,485,JJ Olatunji,"15,800,000","3,631,494,389","1,183",Gaming,2011
485,486,Katie Angel,"15,800,000","3,007,947,714",732,People & Blogs,2015
486,487,MissaSinfonia,"15,800,000","1,918,777,559",232,Comedy,2011
487,488,AMARINTV : à¸­à¸¡à¸£à¸´à¸™à¸—à¸£à¹Œà¸—à¸µà¸§à¸µ,"15,700,000","11,194,074,075","97,231",Entertainment,2014
488,489,Rotten Tomatoes Trailers,"15,700,000","12,811,981,848","9,582",Film & Animation,2011
490,491,Enes Batur,"15,700,000","9,410,061,135","1,979",Gaming,2012
492,493,Jason Vlogs,"15,700,000","7,137,778,517",666,Education,2015
493,494,Alejo Igoa,"15,700,000","5,276,127,016",699,Comedy,2014
494,495,Matt Stonie,"15,700,000","3,249,162,653",401,Entertainment,2012
496,497,Pop Chartbusters,"15,600,000","7,817,983,360","2,154",Music,2011
497,498,Tilak,"15,600,000","6,132,515,137","3,614",Film & Animation,2020
498,499,AdMe,"15,600,000","4,012,749,893","5,356",Entertainment,2015
499,500,FunFun Toy Doll TV,"15,500,000","6,948,469,648",706,Entertainment,2016
500,501,News24,"15,500,000","5,982,443,648","157,377",News & Politics,2014
501,502,Roman Atwood Vlogs,"15,500,000","5,442,036,950","1,726",People & Blogs,2013
502,503,Dyland PROS,"15,500,000","1,294,519,810","1,803",Entertainment,2015
503,504,Gato Galactico | GALÃXIA,"15,400,000","5,602,802,498","2,085",Film & Animation,2013
504,505,FitDance,"15,400,000","6,541,827,030","3,537",Music,2013
506,507,wifistudy,"15,400,000","2,805,232,542","46,290",Education,2014
508,509,RCTI - LAYAR DRAMA INDONESIA,"15,300,000","12,818,689,835","58,886",Entertainment,2015
509,510,SriBalajiMovies,"15,200,000","8,199,671,601","16,953",Entertainment,2011
510,511,Oyuncak AvÄ±,"15,200,000","8,085,387,780",544,Entertainment,2014
513,514,Kerajinan 5-Menit,"15,200,000","4,465,727,515","3,392",People & Blogs,2018
